strain	virus	gisaid_epi_isl	date	region	country	division
hCoV-19/Brazil/SP-L13-CAMPI157/2020	betacoronavirus	EPI_ISL_12712931	2020-06-01	South America	Brazil	Sao Paulo
hCoV-19/Brazil/RJ-UFRJ-58110/2020	betacoronavirus	EPI_ISL_492047	2020-05-29	South America	Brazil	Sao Paulo
hCoV-19/Brazil/SP-L14-CAMPI175/2020	betacoronavirus	EPI_ISL_12712941	2020-05-29	South America	Brazil	Sao Paulo
hCoV-19/Brazil/SP-L46-CD1217/2020	betacoronavirus	EPI_ISL_1084738	2020-05-26	South America	Brazil	Sao Paulo
hCoV-19/Brazil/SP-L12-CAMPI138/2020	betacoronavirus	EPI_ISL_12712918	2020-05-22	South America	Brazil	Sao Paulo
hCoV-19/Brazil/SP-253/2020	betacoronavirus	EPI_ISL_693199	2020-05-20	South America	Brazil	Sao Paulo
hCoV-19/Brazil/SP-L50-CD1306/2020	betacoronavirus	EPI_ISL_4297875	2020-05-20	South America	Brazil	Sao Paulo
hCoV-19/Brazil/SP-L10-CAMPI131/2020	betacoronavirus	EPI_ISL_12712912	2020-05-20	South America	Brazil	Sao Paulo
hCoV-19/Brazil/SP-L23-CAMPI312/2020	betacoronavirus	EPI_ISL_13046389	2020-05-20	South America	Brazil	Sao Paulo
hCoV-19/Brazil/SP-964/2020	betacoronavirus	EPI_ISL_861657	2020-05-17	South America	Brazil	Sao Paulo
hCoV-19/Brazil/SP-L50-CD1288/2020	betacoronavirus	EPI_ISL_4297867	2020-05-15	South America	Brazil	Sao Paulo
hCoV-19/Brazil/SP-963/2020	betacoronavirus	EPI_ISL_861656	2020-05-15	South America	Brazil	Sao Paulo
hCoV-19/Brazil/SP-966/2020	betacoronavirus	EPI_ISL_861659	2020-05-15	South America	Brazil	Sao Paulo
hCoV-19/Brazil/SP-L50-CD1300/2020	betacoronavirus	EPI_ISL_4297872	2020-05-15	South America	Brazil	Sao Paulo
hCoV-19/Brazil/SP-L51-CD1283/2020	betacoronavirus	EPI_ISL_4297863	2020-05-15	South America	Brazil	Sao Paulo
hCoV-19/Brazil/SP-L50-CD1287/2020	betacoronavirus	EPI_ISL_4297866	2020-05-15	South America	Brazil	Sao Paulo
hCoV-19/Brazil/SP-L49-CD1262/2020	betacoronavirus	EPI_ISL_4297855	2020-05-14	South America	Brazil	Sao Paulo
hCoV-19/Brazil/SP-L50-CD1303/2020	betacoronavirus	EPI_ISL_4297873	2020-05-14	South America	Brazil	Sao Paulo
hCoV-19/Brazil/SP-L49-CD1268/2020	betacoronavirus	EPI_ISL_4297858	2020-05-14	South America	Brazil	Sao Paulo
hCoV-19/Brazil/SP-L39-CD1045/2020	betacoronavirus	EPI_ISL_721988	2020-05-13	South America	Brazil	Sao Paulo
hCoV-19/Brazil/SP-L39-CD1042/2020	betacoronavirus	EPI_ISL_722069	2020-05-13	South America	Brazil	Sao Paulo
hCoV-19/Brazil/SP-L39-CD1044/2020	betacoronavirus	EPI_ISL_722066	2020-05-13	South America	Brazil	Sao Paulo
hCoV-19/Brazil/SP-960/2020	betacoronavirus	EPI_ISL_861653	2020-05-13	South America	Brazil	Sao Paulo
hCoV-19/Brazil/SP-L49-CD1269/2020	betacoronavirus	EPI_ISL_4297859	2020-05-13	South America	Brazil	Sao Paulo
hCoV-19/Brazil/SP-L39-CD1035/2020	betacoronavirus	EPI_ISL_722058	2020-05-12	South America	Brazil	Sao Paulo
hCoV-19/Brazil/SP-L39-CD1036/2020	betacoronavirus	EPI_ISL_722011	2020-05-12	South America	Brazil	Sao Paulo
hCoV-19/Brazil/SP-L39-CD1032/2020	betacoronavirus	EPI_ISL_722010	2020-05-12	South America	Brazil	Sao Paulo
hCoV-19/Brazil/SP-L39-CD1033/2020	betacoronavirus	EPI_ISL_722070	2020-05-12	South America	Brazil	Sao Paulo
hCoV-19/Brazil/SP-L39-CD1037/2020	betacoronavirus	EPI_ISL_722074	2020-05-12	South America	Brazil	Sao Paulo
hCoV-19/Brazil/SP-962/2020	betacoronavirus	EPI_ISL_861655	2020-05-12	South America	Brazil	Sao Paulo
hCoV-19/Brazil/SP-L38-CD1020/2020	betacoronavirus	EPI_ISL_4463724	2020-05-11	South America	Brazil	Sao Paulo
hCoV-19/Brazil/SP-L38-CD1022/2020	betacoronavirus	EPI_ISL_4463725	2020-05-11	South America	Brazil	Sao Paulo
hCoV-19/Brazil/SP-L38-CD1023/2020	betacoronavirus	EPI_ISL_4463726	2020-05-11	South America	Brazil	Sao Paulo
hCoV-19/Brazil/SP-L38-CD1014/2020	betacoronavirus	EPI_ISL_721995	2020-05-10	South America	Brazil	Sao Paulo
hCoV-19/Brazil/SP-BT6798/2020	betacoronavirus	EPI_ISL_875543	2020-05-09	South America	Brazil	Sao Paulo
hCoV-19/Brazil/SP-BT6799/2020	betacoronavirus	EPI_ISL_875549	2020-05-09	South America	Brazil	Sao Paulo
hCoV-19/Brazil/SP-L37-CD981/2020	betacoronavirus	EPI_ISL_722093	2020-05-08	South America	Brazil	Sao Paulo
hCoV-19/Brazil/SP-329/2020	betacoronavirus	EPI_ISL_534321	2020-05-07	South America	Brazil	Sao Paulo
hCoV-19/Brazil/SP-951/2020	betacoronavirus	EPI_ISL_861645	2020-05-07	South America	Brazil	Sao Paulo
hCoV-19/Brazil/SP-255/2020	betacoronavirus	EPI_ISL_534319	2020-05-06	South America	Brazil	Sao Paulo
hCoV-19/Brazil/SP-L37-CD975/2020	betacoronavirus	EPI_ISL_722111	2020-05-06	South America	Brazil	Sao Paulo
hCoV-19/Brazil/SP-L38-CD997/2020	betacoronavirus	EPI_ISL_1172017	2020-05-06	South America	Brazil	Sao Paulo
hCoV-19/Brazil/SP-254/2020	betacoronavirus	EPI_ISL_524469	2020-05-05	South America	Brazil	Sao Paulo
hCoV-19/Brazil/SP-256/2020	betacoronavirus	EPI_ISL_534320	2020-05-05	South America	Brazil	Sao Paulo
hCoV-19/Brazil/SP-L43-CD1135/2020	betacoronavirus	EPI_ISL_4297854	2020-05-05	South America	Brazil	Sao Paulo
hCoV-19/Brazil/SP-L38-CD996/2020	betacoronavirus	EPI_ISL_4463733	2020-05-05	South America	Brazil	Sao Paulo
hCoV-19/Brazil/SP-317/2020	betacoronavirus	EPI_ISL_534314	2020-05-04	South America	Brazil	Sao Paulo
hCoV-19/Brazil/SP-249/2020	betacoronavirus	EPI_ISL_693198	2020-05-04	South America	Brazil	Sao Paulo
hCoV-19/Brazil/SP-L43-CD1134/2020	betacoronavirus	EPI_ISL_4297853	2020-05-04	South America	Brazil	Sao Paulo
hCoV-19/Brazil/SP-325/2020	betacoronavirus	EPI_ISL_534318	2020-05-03	South America	Brazil	Sao Paulo
hCoV-19/Brazil/SP-L37-CD957/2020	betacoronavirus	EPI_ISL_722098	2020-05-03	South America	Brazil	Sao Paulo
hCoV-19/Brazil/SP-321/2020	betacoronavirus	EPI_ISL_534316	2020-05-02	South America	Brazil	Sao Paulo
hCoV-19/Brazil/SP-318/2020	betacoronavirus	EPI_ISL_534315	2020-05-02	South America	Brazil	Sao Paulo
hCoV-19/Brazil/SP-L36-CD950/2020	betacoronavirus	EPI_ISL_722089	2020-05-02	South America	Brazil	Sao Paulo
hCoV-19/Brazil/SP-240/2020	betacoronavirus	EPI_ISL_524468	2020-05-01	South America	Brazil	Sao Paulo
hCoV-19/Brazil/SP-L36-CD943/2020	betacoronavirus	EPI_ISL_722107	2020-05-01	South America	Brazil	Sao Paulo
hCoV-19/Brazil/SP-L43-CD1132/2020	betacoronavirus	EPI_ISL_1171871	2020-05-01	South America	Brazil	Sao Paulo
hCoV-19/Brazil/SP-526/2020	betacoronavirus	EPI_ISL_471647	2020-04-30	South America	Brazil	Sao Paulo
hCoV-19/Brazil/SP-L36-CD937/2020	betacoronavirus	EPI_ISL_722041	2020-04-30	South America	Brazil	Sao Paulo
hCoV-19/Brazil/SP-L36-CD940/2020	betacoronavirus	EPI_ISL_722094	2020-04-30	South America	Brazil	Sao Paulo
hCoV-19/Brazil/SP-839/2020	betacoronavirus	EPI_ISL_861643	2020-04-30	South America	Brazil	Sao Paulo
hCoV-19/Brazil/SP-524/2020	betacoronavirus	EPI_ISL_471581	2020-04-29	South America	Brazil	Sao Paulo
hCoV-19/Brazil/SP-L36-CD926/2020	betacoronavirus	EPI_ISL_722126	2020-04-29	South America	Brazil	Sao Paulo
hCoV-19/Brazil/SP-L36-CD930/2020	betacoronavirus	EPI_ISL_722064	2020-04-29	South America	Brazil	Sao Paulo
hCoV-19/Brazil/SP-571/2020	betacoronavirus	EPI_ISL_693200	2020-04-29	South America	Brazil	Sao Paulo
hCoV-19/Brazil/SP-L40-CD1104/2020	betacoronavirus	EPI_ISL_1084724	2020-04-29	South America	Brazil	Sao Paulo
hCoV-19/Brazil/SP-L5-CAMPI114/2020	betacoronavirus	EPI_ISL_476412	2020-04-28	South America	Brazil	Sao Paulo
hCoV-19/Brazil/SP-309/2020	betacoronavirus	EPI_ISL_534311	2020-04-27	South America	Brazil	Sao Paulo
hCoV-19/Brazil/SP-496/2020	betacoronavirus	EPI_ISL_574590	2020-04-26	South America	Brazil	Sao Paulo
hCoV-19/Brazil/SP-L35-CD905/2020	betacoronavirus	EPI_ISL_722076	2020-04-26	South America	Brazil	Sao Paulo
hCoV-19/Brazil/SP-838/2020	betacoronavirus	EPI_ISL_861642	2020-04-26	South America	Brazil	Sao Paulo
hCoV-19/Brazil/SP-L5-CAMPI98/2020	betacoronavirus	EPI_ISL_476424	2020-04-25	South America	Brazil	Sao Paulo
hCoV-19/Brazil/SP-L5-CAMPI92/2020	betacoronavirus	EPI_ISL_476420	2020-04-25	South America	Brazil	Sao Paulo
hCoV-19/Brazil/SP-L5-CAMPI94/2020	betacoronavirus	EPI_ISL_476421	2020-04-25	South America	Brazil	Sao Paulo
hCoV-19/Brazil/SP-305/2020	betacoronavirus	EPI_ISL_534324	2020-04-25	South America	Brazil	Sao Paulo
hCoV-19/Brazil/SP-L35-CD897/2020	betacoronavirus	EPI_ISL_722128	2020-04-25	South America	Brazil	Sao Paulo
hCoV-19/Brazil/SP-L35-CD895/2020	betacoronavirus	EPI_ISL_722102	2020-04-25	South America	Brazil	Sao Paulo
hCoV-19/Brazil/SP-L35-CD891/2020	betacoronavirus	EPI_ISL_721996	2020-04-25	South America	Brazil	Sao Paulo
hCoV-19/Brazil/SP-L35-CD898/2020	betacoronavirus	EPI_ISL_722061	2020-04-25	South America	Brazil	Sao Paulo
hCoV-19/Brazil/SP-L35-CD896/2020	betacoronavirus	EPI_ISL_722091	2020-04-25	South America	Brazil	Sao Paulo
hCoV-19/Brazil/SP-L35-CD894/2020	betacoronavirus	EPI_ISL_722110	2020-04-25	South America	Brazil	Sao Paulo
hCoV-19/Brazil/SP-L35-CD902/2020	betacoronavirus	EPI_ISL_722051	2020-04-25	South America	Brazil	Sao Paulo
hCoV-19/Brazil/SP-L35-CD899/2020	betacoronavirus	EPI_ISL_721999	2020-04-25	South America	Brazil	Sao Paulo
hCoV-19/Brazil/SP-476/2020	betacoronavirus	EPI_ISL_574579	2020-04-24	South America	Brazil	Sao Paulo
hCoV-19/Brazil/SP-L32-CD837/2020	betacoronavirus	EPI_ISL_722044	2020-04-24	South America	Brazil	Sao Paulo
hCoV-19/Brazil/SP-820/2020	betacoronavirus	EPI_ISL_776755	2020-04-24	South America	Brazil	Sao Paulo
hCoV-19/Brazil/SP-HIAE-ID01/2020	betacoronavirus	EPI_ISL_861867	2020-04-24	South America	Brazil	Sao Paulo
hCoV-19/Brazil/SP-L35-CD907/2020	betacoronavirus	EPI_ISL_4297902	2020-04-24	South America	Brazil	Sao Paulo
hCoV-19/Brazil/SP-L5-CAMPI83/2020	betacoronavirus	EPI_ISL_476417	2020-04-23	South America	Brazil	Sao Paulo
hCoV-19/Brazil/SP-L5-CAMPI77/2020	betacoronavirus	EPI_ISL_476416	2020-04-23	South America	Brazil	Sao Paulo
hCoV-19/Brazil/SP-L2-CAMPI78/2020	betacoronavirus	EPI_ISL_476347	2020-04-23	South America	Brazil	Sao Paulo
hCoV-19/Brazil/SP-213/2020	betacoronavirus	EPI_ISL_523992	2020-04-23	South America	Brazil	Sao Paulo
hCoV-19/Brazil/SP-L26-CD572/2020	betacoronavirus	EPI_ISL_672743	2020-04-23	South America	Brazil	Sao Paulo
hCoV-19/Brazil/SP-L26-CD564/2020	betacoronavirus	EPI_ISL_672738	2020-04-23	South America	Brazil	Sao Paulo
hCoV-19/Brazil/SP-L34-CD875/2020	betacoronavirus	EPI_ISL_722037	2020-04-23	South America	Brazil	Sao Paulo
hCoV-19/Brazil/SP-L34-CD883/2020	betacoronavirus	EPI_ISL_722049	2020-04-23	South America	Brazil	Sao Paulo
hCoV-19/Brazil/SP-L34-CD882/2020	betacoronavirus	EPI_ISL_722028	2020-04-23	South America	Brazil	Sao Paulo
hCoV-19/Brazil/SP-L34-CD879/2020	betacoronavirus	EPI_ISL_722027	2020-04-23	South America	Brazil	Sao Paulo
hCoV-19/Brazil/SP-L34-CD874/2020	betacoronavirus	EPI_ISL_722021	2020-04-23	South America	Brazil	Sao Paulo
hCoV-19/Brazil/SP-L41-CD1071/2020	betacoronavirus	EPI_ISL_1084727	2020-04-23	South America	Brazil	Sao Paulo
hCoV-19/Brazil/SP-863/2020	betacoronavirus	EPI_ISL_861639	2020-04-23	South America	Brazil	Sao Paulo
hCoV-19/Brazil/SP-516/2020	betacoronavirus	EPI_ISL_468321	2020-04-22	South America	Brazil	Sao Paulo
hCoV-19/Brazil/SP-218/2020	betacoronavirus	EPI_ISL_527865	2020-04-22	South America	Brazil	Sao Paulo
hCoV-19/Brazil/SP-300/2020	betacoronavirus	EPI_ISL_527869	2020-04-22	South America	Brazil	Sao Paulo
hCoV-19/Brazil/SP-211/2020	betacoronavirus	EPI_ISL_523991	2020-04-22	South America	Brazil	Sao Paulo
hCoV-19/Brazil/SP-L26-CD570/2020	betacoronavirus	EPI_ISL_672742	2020-04-22	South America	Brazil	Sao Paulo
hCoV-19/Brazil/SP-L26-CD568/2020	betacoronavirus	EPI_ISL_672741	2020-04-22	South America	Brazil	Sao Paulo
hCoV-19/Brazil/SP-L33-CD858/2020	betacoronavirus	EPI_ISL_722036	2020-04-22	South America	Brazil	Sao Paulo
hCoV-19/Brazil/SP-L33-CD860/2020	betacoronavirus	EPI_ISL_722015	2020-04-22	South America	Brazil	Sao Paulo
hCoV-19/Brazil/SP-L33-CD867/2020	betacoronavirus	EPI_ISL_722024	2020-04-22	South America	Brazil	Sao Paulo
hCoV-19/Brazil/SP-L33-CD865/2020	betacoronavirus	EPI_ISL_722052	2020-04-22	South America	Brazil	Sao Paulo
hCoV-19/Brazil/SP-829/2020	betacoronavirus	EPI_ISL_792109	2020-04-22	South America	Brazil	Sao Paulo
hCoV-19/Brazil/SP-L34-CD872/2020	betacoronavirus	EPI_ISL_4463732	2020-04-22	South America	Brazil	Sao Paulo
hCoV-19/Brazil/SP-221/2020	betacoronavirus	EPI_ISL_527866	2020-04-21	South America	Brazil	Sao Paulo
hCoV-19/Brazil/SP-282/2020	betacoronavirus	EPI_ISL_527859	2020-04-21	South America	Brazil	Sao Paulo
hCoV-19/Brazil/SP-L26-CD565/2020	betacoronavirus	EPI_ISL_672739	2020-04-21	South America	Brazil	Sao Paulo
hCoV-19/Brazil/SP-575/2020	betacoronavirus	EPI_ISL_693203	2020-04-21	South America	Brazil	Sao Paulo
hCoV-19/Brazil/SP-L4-CAMPI69/2020	betacoronavirus	EPI_ISL_476400	2020-04-20	South America	Brazil	Sao Paulo
hCoV-19/Brazil/SP-208/2020	betacoronavirus	EPI_ISL_523989	2020-04-20	South America	Brazil	Sao Paulo
hCoV-19/Brazil/SP-L26-CD557/2020	betacoronavirus	EPI_ISL_672734	2020-04-20	South America	Brazil	Sao Paulo
hCoV-19/Brazil/SP-L26-CD556/2020	betacoronavirus	EPI_ISL_672733	2020-04-20	South America	Brazil	Sao Paulo
hCoV-19/Brazil/SP-L26-CD559/2020	betacoronavirus	EPI_ISL_672736	2020-04-20	South America	Brazil	Sao Paulo
hCoV-19/Brazil/SP-868/2020	betacoronavirus	EPI_ISL_861641	2020-04-20	South America	Brazil	Sao Paulo
hCoV-19/Brazil/SP-209/2020	betacoronavirus	EPI_ISL_523990	2020-04-19	South America	Brazil	Sao Paulo
hCoV-19/Brazil/SP-L26-CD551/2020	betacoronavirus	EPI_ISL_672729	2020-04-19	South America	Brazil	Sao Paulo
hCoV-19/Brazil/SP-L26-CD554/2020	betacoronavirus	EPI_ISL_672731	2020-04-19	South America	Brazil	Sao Paulo
hCoV-19/Brazil/SP-L4-CAMPI62/2020	betacoronavirus	EPI_ISL_476397	2020-04-18	South America	Brazil	Sao Paulo
hCoV-19/Brazil/SP-L4-CAMPI65/2020	betacoronavirus	EPI_ISL_476398	2020-04-18	South America	Brazil	Sao Paulo
hCoV-19/Brazil/SP-L4-CAMPI58/2020	betacoronavirus	EPI_ISL_476396	2020-04-18	South America	Brazil	Sao Paulo
hCoV-19/Brazil/SP-L2-CAMPI70/2020	betacoronavirus	EPI_ISL_476345	2020-04-18	South America	Brazil	Sao Paulo
hCoV-19/Brazil/SP-155/2020	betacoronavirus	EPI_ISL_515559	2020-04-18	South America	Brazil	Sao Paulo
hCoV-19/Brazil/SP-L26-CD549/2020	betacoronavirus	EPI_ISL_672727	2020-04-18	South America	Brazil	Sao Paulo
hCoV-19/Brazil/SP-164/2020	betacoronavirus	EPI_ISL_523961	2020-04-17	South America	Brazil	Sao Paulo
hCoV-19/Brazil/SP-217/2020	betacoronavirus	EPI_ISL_523993	2020-04-17	South America	Brazil	Sao Paulo
hCoV-19/Brazil/SP-293/2020	betacoronavirus	EPI_ISL_527857	2020-04-17	South America	Brazil	Sao Paulo
hCoV-19/Brazil/SP-L33-CD852/2020	betacoronavirus	EPI_ISL_722014	2020-04-17	South America	Brazil	Sao Paulo
hCoV-19/Brazil/SP-L33-CD854/2020	betacoronavirus	EPI_ISL_722114	2020-04-17	South America	Brazil	Sao Paulo
hCoV-19/Brazil/SP-830/2020	betacoronavirus	EPI_ISL_792108	2020-04-17	South America	Brazil	Sao Paulo
hCoV-19/Brazil/SP-814/2020	betacoronavirus	EPI_ISL_861629	2020-04-17	South America	Brazil	Sao Paulo
hCoV-19/Brazil/SP-159/2020	betacoronavirus	EPI_ISL_515563	2020-04-16	South America	Brazil	Sao Paulo
hCoV-19/Brazil/SP-191/2020	betacoronavirus	EPI_ISL_523983	2020-04-16	South America	Brazil	Sao Paulo
hCoV-19/Brazil/SP-292/2020	betacoronavirus	EPI_ISL_527856	2020-04-16	South America	Brazil	Sao Paulo
hCoV-19/Brazil/SP-445/2020	betacoronavirus	EPI_ISL_574577	2020-04-16	South America	Brazil	Sao Paulo
hCoV-19/Brazil/SP-L26-CD543/2020	betacoronavirus	EPI_ISL_672723	2020-04-16	South America	Brazil	Sao Paulo
hCoV-19/Brazil/SP-L24-CD539/2020	betacoronavirus	EPI_ISL_672697	2020-04-16	South America	Brazil	Sao Paulo
hCoV-19/Brazil/SP-L33-CD849/2020	betacoronavirus	EPI_ISL_722034	2020-04-16	South America	Brazil	Sao Paulo
hCoV-19/Brazil/SP-L33-CD848/2020	betacoronavirus	EPI_ISL_722085	2020-04-16	South America	Brazil	Sao Paulo
hCoV-19/Brazil/SP-L26-CD542/2020	betacoronavirus	EPI_ISL_672722	2020-04-16	South America	Brazil	Sao Paulo
hCoV-19/Brazil/SP-L32-CD839/2020	betacoronavirus	EPI_ISL_722033	2020-04-16	South America	Brazil	Sao Paulo
hCoV-19/Brazil/SP-461/2020	betacoronavirus	EPI_ISL_583492	2020-04-15	South America	Brazil	Sao Paulo
hCoV-19/Brazil/SP-460/2020	betacoronavirus	EPI_ISL_583491	2020-04-15	South America	Brazil	Sao Paulo
hCoV-19/Brazil/SP-L24-CD538/2020	betacoronavirus	EPI_ISL_672696	2020-04-15	South America	Brazil	Sao Paulo
hCoV-19/Brazil/SP-L25-CD672/2020	betacoronavirus	EPI_ISL_672721	2020-04-15	South America	Brazil	Sao Paulo
hCoV-19/Brazil/SP-L28-CD688/2020	betacoronavirus	EPI_ISL_672749	2020-04-15	South America	Brazil	Sao Paulo
hCoV-19/Brazil/SP-L28-CD690/2020	betacoronavirus	EPI_ISL_672751	2020-04-15	South America	Brazil	Sao Paulo
hCoV-19/Brazil/SP-L28-CD684/2020	betacoronavirus	EPI_ISL_672746	2020-04-15	South America	Brazil	Sao Paulo
hCoV-19/Brazil/SP-L28-CD689/2020	betacoronavirus	EPI_ISL_672750	2020-04-15	South America	Brazil	Sao Paulo
hCoV-19/Brazil/SP-L28-CD685/2020	betacoronavirus	EPI_ISL_672747	2020-04-15	South America	Brazil	Sao Paulo
hCoV-19/Brazil/SP-L33-CD842/2020	betacoronavirus	EPI_ISL_722127	2020-04-15	South America	Brazil	Sao Paulo
hCoV-19/Brazil/SP-L33-CD841/2020	betacoronavirus	EPI_ISL_721992	2020-04-15	South America	Brazil	Sao Paulo
hCoV-19/Brazil/SP-L24-CD537/2020	betacoronavirus	EPI_ISL_672695	2020-04-15	South America	Brazil	Sao Paulo
hCoV-19/Brazil/SP-L28-CD681/2020	betacoronavirus	EPI_ISL_722133	2020-04-15	South America	Brazil	Sao Paulo
hCoV-19/Brazil/SP-L40-CD1096/2020	betacoronavirus	EPI_ISL_1084725	2020-04-15	South America	Brazil	Sao Paulo
hCoV-19/Brazil/SP-L1-CAMPI32/2020	betacoronavirus	EPI_ISL_476166	2020-04-14	South America	Brazil	Sao Paulo
hCoV-19/Brazil/SP-L2-CAMPI38/2020	betacoronavirus	EPI_ISL_476338	2020-04-14	South America	Brazil	Sao Paulo
hCoV-19/Brazil/SP-L1-CAMPI36/2020	betacoronavirus	EPI_ISL_476167	2020-04-14	South America	Brazil	Sao Paulo
hCoV-19/Brazil/SP-504/2020	betacoronavirus	EPI_ISL_468316	2020-04-14	South America	Brazil	Sao Paulo
hCoV-19/Brazil/SP-L25-CD670/2020	betacoronavirus	EPI_ISL_672720	2020-04-14	South America	Brazil	Sao Paulo
hCoV-19/Brazil/SP-L24-CD533/2020	betacoronavirus	EPI_ISL_672693	2020-04-14	South America	Brazil	Sao Paulo
hCoV-19/Brazil/SP-L24-CD528/2020	betacoronavirus	EPI_ISL_672689	2020-04-14	South America	Brazil	Sao Paulo
hCoV-19/Brazil/SP-L25-CD665/2020	betacoronavirus	EPI_ISL_672717	2020-04-14	South America	Brazil	Sao Paulo
hCoV-19/Brazil/SP-L25-CD662/2020	betacoronavirus	EPI_ISL_672716	2020-04-14	South America	Brazil	Sao Paulo
hCoV-19/Brazil/BA-L29-CD747/2020	betacoronavirus	EPI_ISL_722138	2020-04-14	South America	Brazil	Sao Paulo
hCoV-19/Brazil/SP-L32-CD840/2020	betacoronavirus	EPI_ISL_722045	2020-04-14	South America	Brazil	Sao Paulo
hCoV-19/Brazil/SP-L25-CD669/2020	betacoronavirus	EPI_ISL_672719	2020-04-14	South America	Brazil	Sao Paulo
hCoV-19/Brazil/SP-607/2020	betacoronavirus	EPI_ISL_471549	2020-04-13	South America	Brazil	Sao Paulo
hCoV-19/Brazil/SP-619/2020	betacoronavirus	EPI_ISL_515562	2020-04-13	South America	Brazil	Sao Paulo
hCoV-19/Brazil/SP-L24-CD623/2020	betacoronavirus	EPI_ISL_672700	2020-04-13	South America	Brazil	Sao Paulo
hCoV-19/Brazil/SP-L25-CD652/2020	betacoronavirus	EPI_ISL_672713	2020-04-13	South America	Brazil	Sao Paulo
hCoV-19/Brazil/SP-L24-CD527/2020	betacoronavirus	EPI_ISL_672688	2020-04-13	South America	Brazil	Sao Paulo
hCoV-19/Brazil/SP-176/2020	betacoronavirus	EPI_ISL_523972	2020-04-11	South America	Brazil	Sao Paulo
hCoV-19/Brazil/SP-L25-CD648/2020	betacoronavirus	EPI_ISL_672712	2020-04-11	South America	Brazil	Sao Paulo
hCoV-19/Brazil/SP-L24-CD525/2020	betacoronavirus	EPI_ISL_672687	2020-04-11	South America	Brazil	Sao Paulo
hCoV-19/Brazil/SP-L25-CD647/2020	betacoronavirus	EPI_ISL_672711	2020-04-11	South America	Brazil	Sao Paulo
hCoV-19/Brazil/SP-606/2020	betacoronavirus	EPI_ISL_471548	2020-04-10	South America	Brazil	Sao Paulo
hCoV-19/Brazil/SP-181/2020	betacoronavirus	EPI_ISL_523976	2020-04-10	South America	Brazil	Sao Paulo
hCoV-19/Brazil/SP-200/2020	betacoronavirus	EPI_ISL_523981	2020-04-10	South America	Brazil	Sao Paulo
hCoV-19/Brazil/SP-L29-CD714/2020	betacoronavirus	EPI_ISL_722159	2020-04-10	South America	Brazil	Sao Paulo
hCoV-19/Brazil/SP-L1-CAMPI18/2020	betacoronavirus	EPI_ISL_476159	2020-04-09	South America	Brazil	Sao Paulo
hCoV-19/Brazil/SP-L3-CAMPI24/2020	betacoronavirus	EPI_ISL_476389	2020-04-09	South America	Brazil	Sao Paulo
hCoV-19/Brazil/SP-L1-CAMPI20/2020	betacoronavirus	EPI_ISL_476162	2020-04-09	South America	Brazil	Sao Paulo
hCoV-19/Brazil/SP-L32-CD831/2020	betacoronavirus	EPI_ISL_722002	2020-04-09	South America	Brazil	Sao Paulo
hCoV-19/Brazil/SP-L32-CD830/2020	betacoronavirus	EPI_ISL_722043	2020-04-09	South America	Brazil	Sao Paulo
hCoV-19/Brazil/SP-L32-CD832/2020	betacoronavirus	EPI_ISL_722018	2020-04-09	South America	Brazil	Sao Paulo
hCoV-19/Brazil/SP-L32-CD829/2020	betacoronavirus	EPI_ISL_1172014	2020-04-09	South America	Brazil	Sao Paulo
hCoV-19/Brazil/SP-L1-CAMPI15/2020	betacoronavirus	EPI_ISL_476157	2020-04-08	South America	Brazil	Sao Paulo
hCoV-19/Brazil/SP-L1-CAMPI16/2020	betacoronavirus	EPI_ISL_476158	2020-04-08	South America	Brazil	Sao Paulo
hCoV-19/Brazil/SP-L32-CD818/2020	betacoronavirus	EPI_ISL_722030	2020-04-08	South America	Brazil	Sao Paulo
hCoV-19/Brazil/SP-L32-CD820/2020	betacoronavirus	EPI_ISL_722055	2020-04-08	South America	Brazil	Sao Paulo
hCoV-19/Brazil/SP-L25-CD634/2020	betacoronavirus	EPI_ISL_672704	2020-04-08	South America	Brazil	Sao Paulo
hCoV-19/Brazil/SP-L25-CD638/2020	betacoronavirus	EPI_ISL_672706	2020-04-08	South America	Brazil	Sao Paulo
hCoV-19/Brazil/SP-L23-CD505/2020	betacoronavirus	EPI_ISL_4297896	2020-04-08	South America	Brazil	Sao Paulo
hCoV-19/Brazil/SP-L25-CD627/2020	betacoronavirus	EPI_ISL_672702	2020-04-07	South America	Brazil	Sao Paulo
hCoV-19/Brazil/SP-L25-CD630/2020	betacoronavirus	EPI_ISL_672703	2020-04-07	South America	Brazil	Sao Paulo
hCoV-19/Brazil/SP-L25-CD626/2020	betacoronavirus	EPI_ISL_672701	2020-04-07	South America	Brazil	Sao Paulo
hCoV-19/Brazil/SP-L32-CD822/2020	betacoronavirus	EPI_ISL_722005	2020-04-07	South America	Brazil	Sao Paulo
hCoV-19/Brazil/SP-L23-CD497/2020	betacoronavirus	EPI_ISL_4297889	2020-04-07	South America	Brazil	Sao Paulo
hCoV-19/Brazil/SP-L23-CD498/2020	betacoronavirus	EPI_ISL_4297890	2020-04-07	South America	Brazil	Sao Paulo
hCoV-19/Brazil/SP-L20-CD437/2020	betacoronavirus	EPI_ISL_476363	2020-04-06	South America	Brazil	Sao Paulo
hCoV-19/Brazil/SP-L21-CD445/2020	betacoronavirus	EPI_ISL_476367	2020-04-06	South America	Brazil	Sao Paulo
